index,valence_1,valence_2,arousal_1,arousal_2
S01E03R06_clip0000,5.0,5,1.0,4
S01E03R06_clip0001,5.0,5,1.0,4
S01E03R06_clip0002,5.0,5,1.0,4
S01E03R06_clip0003,5.0,5,1.0,4
S01E03R06_clip0004,5.0,5,1.0,4
S01E03R06_clip0005,5.0,5,1.0,4
S01E03R06_clip0006,5.0,5,1.0,4
S01E03R06_clip0007,5.0,5,1.0,4
S01E03R06_clip0008,5.0,5,1.0,4
S01E03R06_clip0009,5.0,5,1.0,4
S01E03R06_clip0010,5.0,5,1.0,4
S01E03R06_clip0011,5.0,5,1.0,4
S01E03R06_clip0012,5.0,5,1.0,4
S01E03R06_clip0013,5.0,5,1.0,4
S01E03R06_clip0014,5.0,5,1.0,4
S01E03R06_clip0015,5.0,5,1.0,4
S01E03R06_clip0016,5.0,5,1.0,4
S01E03R06_clip0017,5.0,5,1.0,4
S01E03R06_clip0018,5.0,5,1.0,4
S01E03R06_clip0019,5.0,5,1.0,4
S01E03R06_clip0020,5.0,5,1.0,4
S01E03R06_clip0021,5.0,5,1.0,4
S01E03R06_clip0022,5.0,5,1.0,4
S01E03R06_clip0023,5.0,5,1.0,4
S01E03R06_clip0024,5.0,5,1.0,4
S01E03R06_clip0025,5.0,5,1.0,4
S01E03R06_clip0026,5.0,5,1.0,4
S01E03R06_clip0027,5.0,5,1.0,4
S01E03R06_clip0028,5.0,5,1.0,4
S01E03R06_clip0029,5.0,5,1.0,4
S01E03R06_clip0030,5.0,5,1.0,4
S01E03R06_clip0031,5.0,5,1.0,4
S01E03R06_clip0032,5.0,5,1.0,4
S01E03R06_clip0033,5.0,5,1.0,4
S01E03R06_clip0034,5.0,5,1.0,4
S01E03R06_clip0035,5.0,5,1.0,4
S01E03R06_clip0036,5.0,5,1.0,4
S01E03R06_clip0037,5.0,5,1.0,4
S01E03R06_clip0038,5.0,4,1.0,4
S01E03R06_clip0039,5.0,4,1.0,4
S01E03R06_clip0040,5.0,4,1.0,4
S01E03R06_clip0041,5.0,4,1.0,4
S01E03R06_clip0042,5.0,4,1.0,4
S01E03R06_clip0043,5.0,4,1.0,4
S01E03R06_clip0044,5.0,4,1.0,4
S01E03R06_clip0045,5.0,4,1.0,4
S01E03R06_clip0046,5.0,6,1.0,4
S01E03R06_clip0047,5.0,6,1.0,4
S01E03R06_clip0048,5.0,6,1.0,4
S01E03R06_clip0049,5.0,5,1.0,4
S01E03R06_clip0050,5.0,5,1.0,4
S01E03R06_clip0051,5.0,5,1.0,4
S01E03R06_clip0052,5.0,5,1.0,4
S01E03R06_clip0053,5.0,5,1.0,4
S01E03R06_clip0054,5.0,6,1.0,4
S01E03R06_clip0055,5.0,5,1.0,4
S01E03R06_clip0056,5.0,5,1.0,4
S01E03R06_clip0057,5.0,5,1.0,4
S01E03R06_clip0058,5.0,5,1.0,4
S01E03R06_clip0059,5.0,5,1.0,4
S01E03R06_clip0060,5.0,5,1.0,4
S01E03R06_clip0061,5.0,5,1.0,4
S01E03R06_clip0062,5.0,5,1.0,4
S01E03R06_clip0063,5.0,5,1.0,4
S01E03R06_clip0064,5.0,6,1.0,4
S01E03R06_clip0065,5.0,6,1.0,4
S01E03R06_clip0066,5.0,6,1.0,4
S01E03R06_clip0067,5.0,5,1.0,4
S01E03R06_clip0068,5.0,5,1.0,4
S01E03R06_clip0069,5.0,5,1.0,4
S01E03R06_clip0070,5.0,5,1.0,4
S01E03R06_clip0071,5.0,5,1.0,4
S01E03R06_clip0072,5.0,6,1.0,4
S01E03R06_clip0073,5.0,5,1.0,4
S01E03R06_clip0074,5.0,5,1.0,4
S01E03R06_clip0075,5.0,5,1.0,4
S01E03R06_clip0076,5.0,5,1.0,4
S01E03R06_clip0077,5.0,5,1.0,4
S01E03R06_clip0078,5.0,5,1.0,4
S01E03R06_clip0079,5.0,5,1.0,4
S01E03R06_clip0080,5.0,5,1.0,4
S01E03R06_clip0081,5.0,5,1.0,4
S01E03R06_clip0082,5.0,5,1.0,4
S01E03R06_clip0083,5.0,5,1.0,4
S01E03R06_clip0084,5.0,5,1.0,4
S01E03R06_clip0085,5.0,5,1.0,4
S01E03R06_clip0086,5.0,4,1.0,4
S01E03R06_clip0087,5.0,4,1.0,4
S01E03R06_clip0088,5.0,4,1.0,4
S01E03R06_clip0089,5.0,4,1.0,4
S01E03R06_clip0090,5.0,4,1.0,4
S01E03R06_clip0091,5.0,4,1.0,4
S01E03R06_clip0092,5.0,4,1.0,4
S01E03R06_clip0093,5.0,4,1.0,4
S01E03R06_clip0094,5.0,4,1.0,4
S01E03R06_clip0095,5.0,5,1.0,4
S01E03R06_clip0096,5.0,5,1.0,4
S01E03R06_clip0097,5.0,5,1.0,4
S01E03R06_clip0098,5.0,5,1.0,4
S01E03R06_clip0099,5.0,5,1.0,4
S01E03R06_clip0100,5.0,5,1.0,4
S01E03R06_clip0101,5.0,5,1.0,4
S01E03R06_clip0102,5.0,5,1.0,4
S01E03R06_clip0103,5.0,5,1.0,4
S01E03R06_clip0104,5.0,5,1.0,4
S01E03R06_clip0105,5.0,5,1.0,4
S01E03R06_clip0106,5.0,5,1.0,4
S01E03R06_clip0107,5.0,5,1.0,4
S01E03R06_clip0108,5.0,5,1.0,4
S01E03R06_clip0109,5.0,5,1.0,4
S01E03R06_clip0110,5.0,5,1.0,4
S01E03R06_clip0111,5.0,5,1.0,4
S01E03R06_clip0112,5.0,5,1.0,4
S01E03R06_clip0113,5.0,5,1.0,4
S01E03R06_clip0114,5.0,5,1.0,4
S01E03R06_clip0115,5.0,3,1.0,5
S01E03R06_clip0116,5.0,3,1.0,5
S01E03R06_clip0117,5.0,3,1.0,5
S01E03R06_clip0118,5.0,3,1.0,5
S01E03R06_clip0119,5.0,3,1.0,5
S01E03R06_clip0120,5.0,3,1.0,5
S01E03R06_clip0121,5.0,3,1.0,5
S01E03R06_clip0122,5.0,3,1.0,5
S01E03R06_clip0123,5.0,5,1.0,4
S01E03R06_clip0124,5.0,5,1.0,4
S01E03R06_clip0125,5.0,5,1.0,4
S01E03R06_clip0126,5.0,5,1.0,4
S01E03R06_clip0127,5.0,5,1.0,4
S01E03R06_clip0128,5.0,5,1.0,4
S01E03R06_clip0129,5.0,5,1.0,4
S01E03R06_clip0130,5.0,5,1.0,4
S01E03R06_clip0131,5.0,5,1.0,4
S01E03R06_clip0132,5.0,5,1.0,4
S01E03R06_clip0133,5.0,5,1.0,4
S01E03R06_clip0134,5.0,5,1.0,4
S01E03R06_clip0135,5.0,5,1.0,4
S01E03R06_clip0136,5.0,5,1.0,4
S01E03R06_clip0137,5.0,5,1.0,4
S01E03R06_clip0138,5.0,5,1.0,4
S01E03R06_clip0139,5.0,5,1.0,4
S01E03R06_clip0140,5.0,5,1.0,4
S01E03R06_clip0141,5.0,5,1.0,4
S01E03R06_clip0142,5.0,5,1.0,4
S01E03R06_clip0143,5.0,5,1.0,4
S01E03R06_clip0144,5.0,5,1.0,4
S01E03R06_clip0145,5.0,5,1.0,4
S01E03R06_clip0146,5.0,5,1.0,4
S01E03R06_clip0147,5.0,5,1.0,4
S01E03R06_clip0148,5.0,5,1.0,4
S01E03R06_clip0149,5.0,5,1.0,4
S01E03R06_clip0150,5.0,5,1.0,4
S01E03R06_clip0151,5.0,5,1.0,4
S01E03R06_clip0152,5.0,5,1.0,4
S01E03R06_clip0153,5.0,5,1.0,4
S01E03R06_clip0154,5.0,5,1.0,4
S01E03R06_clip0155,5.0,5,1.0,4
S01E03R06_clip0156,5.0,5,1.0,4
S01E03R06_clip0157,5.0,5,1.0,4
S01E03R06_clip0158,5.0,5,1.0,4
S01E03R06_clip0159,5.0,5,1.0,4
S01E03R06_clip0160,5.0,5,1.0,4
S01E03R06_clip0161,5.0,5,1.0,4
S01E03R06_clip0162,5.0,5,1.0,4
S01E03R06_clip0163,5.0,5,1.0,4
S01E03R06_clip0164,5.0,5,1.0,4
S01E03R06_clip0165,5.0,5,1.0,4
S01E03R06_clip0166,5.0,5,1.0,4
S01E03R06_clip0167,5.0,5,1.0,4
S01E03R06_clip0168,5.0,5,1.0,4
S01E03R06_clip0169,5.0,5,1.0,4
S01E03R06_clip0170,5.0,5,1.0,4
S01E03R06_clip0171,5.0,5,1.0,4
S01E03R06_clip0172,5.0,5,1.0,4
S01E03R06_clip0173,5.0,5,1.0,4
S01E03R06_clip0174,5.0,5,1.0,5
S01E03R06_clip0175,5.0,5,1.0,5
S01E03R06_clip0176,5.0,5,1.0,5
S01E03R06_clip0177,5.0,5,1.0,5
S01E03R06_clip0178,5.0,5,1.0,5
S01E03R06_clip0179,5.0,5,1.0,5
S01E03R06_clip0180,5.0,5,1.0,5
S01E03R06_clip0181,5.0,5,1.0,5
S01E03R06_clip0182,5.0,5,1.0,5
S01E03R06_clip0183,5.0,5,1.0,5
S01E03R06_clip0184,5.0,5,1.0,5
S01E03R06_clip0185,5.0,5,1.0,5
S01E03R06_clip0186,5.0,5,1.0,5
S01E03R06_clip0187,5.0,5,1.0,5
S01E03R06_clip0188,5.0,5,1.0,5
S01E03R06_clip0189,5.0,5,1.0,5
S01E03R06_clip0190,5.0,5,1.0,5
S01E03R06_clip0191,5.0,5,1.0,5
S01E03R06_clip0192,5.0,5,1.0,5
S01E03R06_clip0193,5.0,5,1.0,4
S01E03R06_clip0194,5.0,5,1.0,4
S01E03R06_clip0195,5.0,5,1.0,4
S01E03R06_clip0196,5.0,5,1.0,4
S01E03R06_clip0197,5.0,5,1.0,4
S01E03R06_clip0198,5.0,5,1.0,4
S01E03R06_clip0199,5.0,5,1.0,4
S01E03R06_clip0200,5.0,5,1.0,4
S01E03R06_clip0201,5.0,5,1.0,4
S01E03R06_clip0202,5.0,5,1.0,4
S01E03R06_clip0203,5.0,5,1.0,4
S01E03R06_clip0204,5.0,5,1.0,4
S01E03R06_clip0205,5.0,5,1.0,4
S01E03R06_clip0206,5.0,5,1.0,4
S01E03R06_clip0207,5.0,5,1.0,4
S01E03R06_clip0208,5.0,5,1.0,4
S01E03R06_clip0209,5.0,5,1.0,4
S01E03R06_clip0210,5.0,5,1.0,4
S01E03R06_clip0211,5.0,5,1.0,4
