index,valence_1,valence_2,arousal_1,arousal_2
S01E01R01_clip0000,5,5,3,1
S01E01R01_clip0001,5,5,3,1
S01E01R01_clip0002,5,5,3,1
S01E01R01_clip0003,5,5,3,1
S01E01R01_clip0004,5,5,3,1
S01E01R01_clip0005,5,5,3,1
S01E01R01_clip0006,5,5,3,1
S01E01R01_clip0007,5,5,3,1
S01E01R01_clip0008,5,5,3,1
S01E01R01_clip0009,5,5,3,1
S01E01R01_clip0010,5,5,3,2
S01E01R01_clip0011,5,5,3,2
S01E01R01_clip0012,5,5,3,2
S01E01R01_clip0013,5,5,3,2
S01E01R01_clip0014,5,5,3,2
S01E01R01_clip0015,5,5,3,2
S01E01R01_clip0016,5,5,3,2
S01E01R01_clip0017,5,5,3,2
S01E01R01_clip0018,5,5,3,3
S01E01R01_clip0019,5,5,3,3
S01E01R01_clip0020,5,5,3,3
S01E01R01_clip0021,5,5,3,3
S01E01R01_clip0022,5,5,3,3
S01E01R01_clip0023,5,4,3,3
S01E01R01_clip0024,5,4,3,4
S01E01R01_clip0025,5,4,3,4
S01E01R01_clip0026,5,4,3,5
S01E01R01_clip0027,5,4,3,5
S01E01R01_clip0028,5,4,3,5
S01E01R01_clip0029,5,1,3,10
S01E01R01_clip0030,5,1,4,10
S01E01R01_clip0031,5,1,4,9
S01E01R01_clip0032,5,1,3,9
S01E01R01_clip0033,5,1,3,9
S01E01R01_clip0034,5,1,3,8
S01E01R01_clip0035,5,1,3,8
S01E01R01_clip0036,5,2,3,8
S01E01R01_clip0037,5,2,3,8
S01E01R01_clip0038,5,3,3,7
S01E01R01_clip0039,5,3,3,7
S01E01R01_clip0040,5,2,3,8
S01E01R01_clip0041,5,2,3,8
S01E01R01_clip0042,5,2,3,8
S01E01R01_clip0043,5,3,3,7
S01E01R01_clip0044,5,3,3,7
S01E01R01_clip0045,5,4,3,7
S01E01R01_clip0046,5,4,3,7
S01E01R01_clip0047,5,4,3,7
S01E01R01_clip0048,5,4,3,7
S01E01R01_clip0049,5,4,3,7
S01E01R01_clip0050,5,4,3,7
S01E01R01_clip0051,5,3,3,8
S01E01R01_clip0052,5,3,3,8
S01E01R01_clip0053,5,3,3,7
S01E01R01_clip0054,5,3,3,7
S01E01R01_clip0055,5,3,3,8
S01E01R01_clip0056,5,3,3,8
S01E01R01_clip0057,5,3,3,8
S01E01R01_clip0058,5,3,3,9
S01E01R01_clip0059,5,3,3,9
S01E01R01_clip0060,5,2,3,9
S01E01R01_clip0061,5,2,3,9
S01E01R01_clip0062,5,4,3,6
S01E01R01_clip0063,5,5,3,4
S01E01R01_clip0064,5,5,3,4
S01E01R01_clip0065,5,5,3,4
S01E01R01_clip0066,5,5,3,4
S01E01R01_clip0067,5,5,3,4
S01E01R01_clip0068,5,5,3,4
S01E01R01_clip0069,5,5,3,4
S01E01R01_clip0070,5,5,3,2
S01E01R01_clip0071,5,5,3,2
S01E01R01_clip0072,5,5,3,2
S01E01R01_clip0073,5,5,3,2
S01E01R01_clip0074,5,5,3,2
S01E01R01_clip0075,5,5,3,2
S01E01R01_clip0076,5,5,3,2
S01E01R01_clip0077,5,5,3,2
S01E01R01_clip0078,5,5,3,2
S01E01R01_clip0079,5,5,3,2
S01E01R01_clip0080,5,5,3,2
S01E01R01_clip0081,5,5,3,2
S01E01R01_clip0082,5,5,3,2
S01E01R01_clip0083,5,5,3,2
S01E01R01_clip0084,5,5,3,2
S01E01R01_clip0085,5,5,3,4
S01E01R01_clip0086,5,5,3,4
S01E01R01_clip0087,5,5,3,4
S01E01R01_clip0088,5,5,3,4
S01E01R01_clip0089,5,5,3,4
S01E01R01_clip0090,5,5,3,4
S01E01R01_clip0091,5,5,3,4
S01E01R01_clip0092,5,5,3,2
S01E01R01_clip0093,5,5,3,2
S01E01R01_clip0094,5,5,3,2
S01E01R01_clip0095,5,5,3,3
S01E01R01_clip0096,5,5,3,3
S01E01R01_clip0097,5,5,3,3
S01E01R01_clip0098,5,5,3,3
S01E01R01_clip0099,5,5,3,3
S01E01R01_clip0100,5,5,3,4
S01E01R01_clip0101,5,3,3,7
S01E01R01_clip0102,5,3,3,7
S01E01R01_clip0103,5,2,3,7
S01E01R01_clip0104,5,2,3,7
S01E01R01_clip0105,5,3,3,6
S01E01R01_clip0106,5,3,3,6
S01E01R01_clip0107,5,3,3,6
S01E01R01_clip0108,5,4,3,5
S01E01R01_clip0109,5,4,3,5
S01E01R01_clip0110,5,4,3,5
S01E01R01_clip0111,5,4,3,5
S01E01R01_clip0112,5,3,3,5
S01E01R01_clip0113,5,3,3,5
S01E01R01_clip0114,5,3,3,5
S01E01R01_clip0115,5,5,3,3
S01E01R01_clip0116,5,4,3,4
S01E01R01_clip0117,5,4,3,4
S01E01R01_clip0118,5,4,3,4
S01E01R01_clip0119,5,4,3,4
S01E01R01_clip0120,5,4,3,4
S01E01R01_clip0121,5,4,3,4
S01E01R01_clip0122,5,4,3,4
S01E01R01_clip0123,5,4,3,4
S01E01R01_clip0124,5,4,3,4
S01E01R01_clip0125,5,4,3,4
S01E01R01_clip0126,5,4,3,4
S01E01R01_clip0127,5,4,3,4
S01E01R01_clip0128,5,5,3,3
S01E01R01_clip0129,5,5,3,3
S01E01R01_clip0130,5,5,3,3
S01E01R01_clip0131,5,5,3,3
S01E01R01_clip0132,5,5,3,3
S01E01R01_clip0133,5,5,3,3
S01E01R01_clip0134,5,5,3,3
S01E01R01_clip0135,5,5,3,3
S01E01R01_clip0136,5,5,3,3
S01E01R01_clip0137,5,5,3,3
S01E01R01_clip0138,5,5,3,3
S01E01R01_clip0139,5,3,3,5
S01E01R01_clip0140,5,5,3,3
S01E01R01_clip0141,5,5,3,3
S01E01R01_clip0142,5,5,3,2
S01E01R01_clip0143,5,5,3,2
S01E01R01_clip0144,5,5,3,2
S01E01R01_clip0145,5,5,3,1
