run,index,valence_1,valence_2,arousal_1,arousal_2
S01E03R01,S01E03R01_clip0054,7,5,1.0,5
S01E03R01,S01E03R01_clip0055,1,4,9.0,6
S01E03R01,S01E03R01_clip0056,1,4,9.0,6
S01E03R01,S01E03R01_clip0057,7,5,1.0,5
S01E03R01,S01E03R01_clip0058,1,4,9.0,6
S01E03R01,S01E03R01_clip0059,7,5,1.0,5
S01E03R01,S01E03R01_clip0060,7,5,1.0,5
S01E03R01,S01E03R01_clip0061,7,5,1.0,5
S01E03R01,S01E03R01_clip0062,1,4,9.0,6
S01E03R01,S01E03R01_clip0063,7,4,1.0,6
S01E03R01,S01E03R01_clip0064,1,5,9.0,5
S01E03R01,S01E03R01_clip0065,1,4,9.0,6
S01E03R01,S01E03R01_clip0066,1,4,9.0,6
S01E03R01,S01E03R01_clip0067,1,4,7.0,6
S01E03R01,S01E03R01_clip0068,1,4,5.0,6
S01E03R01,S01E03R01_clip0069,1,4,5.0,6
S01E03R01,S01E03R01_clip0070,1,4,5.0,6
S01E03R01,S01E03R01_clip0071,1,4,5.0,6
S01E03R01,S01E03R01_clip0072,1,4,5.0,6
S01E03R01,S01E03R01_clip0073,1,4,5.0,6
S01E03R01,S01E03R01_clip0074,1,4,5.0,6
S01E03R01,S01E03R01_clip0075,1,4,5.0,6
S01E03R01,S01E03R01_clip0076,3,5,3.0,4
S01E03R01,S01E03R01_clip0077,3,5,3.0,4
S01E03R01,S01E03R01_clip0078,3,5,3.0,4
S01E03R01,S01E03R01_clip0079,3,5,3.0,4
S01E03R01,S01E03R01_clip0080,3,5,3.0,4
S01E03R01,S01E03R01_clip0081,3,5,3.0,4
S01E03R01,S01E03R01_clip0082,3,5,3.0,4
S01E03R01,S01E03R01_clip0083,3,5,3.0,4
S01E03R01,S01E03R01_clip0084,5,5,2.0,4
S01E03R01,S01E03R01_clip0085,5,5,2.0,4
S01E03R01,S01E03R01_clip0086,5,5,2.0,4
S01E03R01,S01E03R01_clip0087,5,5,1.0,4
S01E03R01,S01E03R01_clip0088,5,5,1.0,4
S01E03R01,S01E03R01_clip0089,5,5,1.0,4
S01E03R01,S01E03R01_clip0090,5,4,1.0,4
S01E03R01,S01E03R01_clip0091,5,4,1.0,4
S01E03R01,S01E03R01_clip0092,5,4,1.0,4
S01E03R01,S01E03R01_clip0093,5,4,1.0,4
S01E03R01,S01E03R01_clip0094,5,4,1.0,4
S01E03R01,S01E03R01_clip0095,5,4,1.0,4
S01E03R01,S01E03R01_clip0096,5,4,1.0,4
S01E03R01,S01E03R01_clip0097,5,4,1.0,4
S01E03R01,S01E03R01_clip0098,5,4,1.0,4
S01E03R01,S01E03R01_clip0099,5,4,1.0,4
S01E03R01,S01E03R01_clip0100,5,4,1.0,4
S01E03R01,S01E03R01_clip0101,5,4,1.0,4
S01E03R01,S01E03R01_clip0102,5,4,1.0,4
S01E03R01,S01E03R01_clip0103,5,4,1.0,4
S01E03R01,S01E03R01_clip0104,5,4,1.0,4
S01E03R01,S01E03R01_clip0105,5,4,1.0,4
S01E03R01,S01E03R01_clip0106,5,4,1.0,4
S01E03R01,S01E03R01_clip0107,5,4,1.0,4
S01E03R01,S01E03R01_clip0108,5,4,1.0,4
S01E03R01,S01E03R01_clip0109,5,4,1.0,4
S01E03R01,S01E03R01_clip0110,5,4,1.0,4
S01E03R01,S01E03R01_clip0111,5,4,1.0,4
S01E03R01,S01E03R01_clip0112,5,4,1.0,4
S01E03R01,S01E03R01_clip0113,5,4,1.0,4
S01E03R01,S01E03R01_clip0114,5,4,1.0,4
S01E03R01,S01E03R01_clip0115,5,4,1.0,4
S01E03R01,S01E03R01_clip0116,5,5,1.0,4
S01E03R01,S01E03R01_clip0117,5,5,1.0,4
S01E03R01,S01E03R01_clip0118,5,5,1.0,4
S01E03R01,S01E03R01_clip0119,5,5,1.0,4
S01E03R01,S01E03R01_clip0120,5,5,1.0,4
S01E03R01,S01E03R01_clip0121,5,5,1.0,4
S01E03R01,S01E03R01_clip0122,5,5,1.0,4
S01E03R01,S01E03R01_clip0123,5,5,3.0,5
S01E03R01,S01E03R01_clip0124,5,5,3.0,5
S01E03R01,S01E03R01_clip0125,5,5,3.0,5
S01E03R01,S01E03R01_clip0126,5,5,3.0,5
S01E03R01,S01E03R01_clip0127,5,5,3.0,5
S01E03R01,S01E03R01_clip0128,5,5,3.0,5
S01E03R01,S01E03R01_clip0129,5,5,3.0,5
S01E03R01,S01E03R01_clip0130,5,5,3.0,5
S01E03R01,S01E03R01_clip0131,5,5,3.0,5
S01E03R01,S01E03R01_clip0132,4,5,3.0,5
S01E03R01,S01E03R01_clip0133,4,5,3.0,5
S01E03R01,S01E03R01_clip0134,5,5,1.0,5
S01E03R01,S01E03R01_clip0135,5,5,1.0,5
S01E03R01,S01E03R01_clip0136,5,5,1.0,5
S01E03R01,S01E03R01_clip0137,5,5,1.0,5
S01E03R01,S01E03R01_clip0138,5,5,1.0,5
S01E03R01,S01E03R01_clip0139,5,5,1.0,5
S01E03R01,S01E03R01_clip0140,5,5,1.0,5
S01E03R01,S01E03R01_clip0141,5,5,1.0,5
S01E03R01,S01E03R01_clip0142,5,5,1.0,5
S01E03R01,S01E03R01_clip0143,5,5,1.0,5
S01E03R01,S01E03R01_clip0144,5,5,1.0,5
S01E03R01,S01E03R01_clip0145,5,5,1.0,5
S01E03R01,S01E03R01_clip0146,5,5,1.0,5
S01E03R01,S01E03R01_clip0147,5,5,1.0,5
S01E03R01,S01E03R01_clip0148,5,4,1.0,5
S01E03R01,S01E03R01_clip0149,5,4,1.0,5
S01E03R01,S01E03R01_clip0150,5,4,1.0,5
S01E03R01,S01E03R01_clip0151,5,4,1.0,5
S01E03R01,S01E03R01_clip0152,5,4,1.0,5
S01E03R01,S01E03R01_clip0153,5,4,1.0,5
S01E03R01,S01E03R01_clip0154,5,4,1.0,5
S01E03R01,S01E03R01_clip0155,5,4,1.0,5
S01E03R01,S01E03R01_clip0156,5,4,1.0,5
S01E03R01,S01E03R01_clip0157,5,4,1.0,5
S01E03R01,S01E03R01_clip0158,5,4,1.0,5
S01E03R01,S01E03R01_clip0159,5,4,1.0,5
S01E03R01,S01E03R01_clip0160,5,4,1.0,5
S01E03R01,S01E03R01_clip0161,5,4,1.0,5
S01E03R01,S01E03R01_clip0162,5,4,1.0,5
S01E03R01,S01E03R01_clip0163,5,4,1.0,5
S01E03R01,S01E03R01_clip0164,5,4,1.0,5
S01E03R01,S01E03R01_clip0165,5,4,1.0,5
S01E03R01,S01E03R01_clip0166,5,4,1.0,5
S01E03R01,S01E03R01_clip0167,5,4,1.0,5
S01E03R01,S01E03R01_clip0168,5,4,1.0,5
S01E03R01,S01E03R01_clip0169,5,4,1.0,5
S01E03R01,S01E03R01_clip0170,5,4,1.0,5
S01E03R01,S01E03R01_clip0171,5,4,1.0,5
S01E03R01,S01E03R01_clip0172,5,4,1.0,5
S01E03R01,S01E03R01_clip0173,5,4,1.0,5
S01E03R01,S01E03R01_clip0174,5,4,1.0,5
S01E03R01,S01E03R01_clip0175,5,4,1.0,5
S01E03R01,S01E03R01_clip0176,5,4,1.0,5
S01E03R01,S01E03R01_clip0177,5,4,1.0,5
S01E03R01,S01E03R01_clip0178,5,4,1.0,5
S01E03R01,S01E03R01_clip0179,5,4,1.0,5
S01E03R01,S01E03R01_clip0180,5,3,1.0,5
S01E03R01,S01E03R01_clip0181,5,3,1.0,5
S01E03R01,S01E03R01_clip0182,5,3,1.0,5
S01E03R01,S01E03R01_clip0183,5,5,1.0,4
S01E03R01,S01E03R01_clip0184,5,5,1.0,4
S01E03R01,S01E03R01_clip0185,5,5,1.0,4
S01E03R01,S01E03R01_clip0186,5,5,1.0,4
S01E03R01,S01E03R01_clip0187,5,5,1.0,4
S01E03R01,S01E03R01_clip0188,5,5,1.0,4
S01E03R01,S01E03R01_clip0189,5,5,1.0,4
S01E03R01,S01E03R01_clip0190,5,5,1.0,4
S01E03R01,S01E03R01_clip0191,5,5,1.0,4
S01E03R01,S01E03R01_clip0192,5,5,1.0,4
S01E03R01,S01E03R01_clip0193,5,5,1.0,4
S01E03R01,S01E03R01_clip0194,5,5,1.0,4
S01E03R01,S01E03R01_clip0195,5,5,1.0,4
S01E03R01,S01E03R01_clip0196,5,5,1.0,4
S01E03R01,S01E03R01_clip0197,5,5,1.0,4
S01E03R01,S01E03R01_clip0198,5,5,1.0,4
S01E03R01,S01E03R01_clip0199,5,5,1.0,4
S01E03R01,S01E03R01_clip0200,5,5,1.0,4
S01E03R01,S01E03R01_clip0201,5,5,1.0,4
S01E03R01,S01E03R01_clip0202,5,4,1.0,4
S01E03R01,S01E03R01_clip0203,5,4,1.0,4
S01E03R01,S01E03R01_clip0204,5,4,1.0,5
S01E03R01,S01E03R01_clip0205,5,4,1.0,5
S01E03R01,S01E03R01_clip0206,5,4,1.0,5
S01E03R01,S01E03R01_clip0207,5,4,1.0,5
S01E03R01,S01E03R01_clip0208,5,4,1.0,5
S01E03R01,S01E03R01_clip0209,5,4,1.0,5
S01E03R01,S01E03R01_clip0210,5,4,1.0,5
S01E03R01,S01E03R01_clip0211,5,4,1.0,5
S01E03R01,S01E03R01_clip0212,5,4,1.0,5
S01E03R01,S01E03R01_clip0213,5,4,1.0,5
S01E03R01,S01E03R01_clip0214,5,4,1.0,5
S01E03R01,S01E03R01_clip0215,5,4,1.0,5
S01E03R01,S01E03R01_clip0216,5,4,1.0,5
S01E03R01,S01E03R01_clip0217,5,4,1.0,5
S01E03R01,S01E03R01_clip0218,5,4,1.0,5
S01E03R01,S01E03R01_clip0219,5,4,1.0,5
S01E03R01,S01E03R01_clip0220,5,4,1.0,5
S01E03R01,S01E03R01_clip0221,5,4,1.0,5
S01E03R01,S01E03R01_clip0222,5,4,1.0,5
S01E03R01,S01E03R01_clip0223,5,4,1.0,5
S01E03R01,S01E03R01_clip0224,5,4,1.0,5
S01E03R01,S01E03R01_clip0225,5,4,1.0,5
S01E03R01,S01E03R01_clip0226,5,4,1.0,5
S01E03R01,S01E03R01_clip0227,5,4,1.0,5
S01E03R01,S01E03R01_clip0228,5,4,1.0,5
S01E03R01,S01E03R01_clip0229,5,4,1.0,5
S01E03R01,S01E03R01_clip0230,5,4,1.0,5
S01E03R01,S01E03R01_clip0231,5,4,1.0,5
S01E03R01,S01E03R01_clip0232,5,4,1.0,5
S01E03R01,S01E03R01_clip0233,5,4,1.0,5
S01E03R01,S01E03R01_clip0234,5,4,1.0,5
S01E03R01,S01E03R01_clip0235,5,4,1.0,5
S01E03R01,S01E03R01_clip0236,5,4,1.0,5
S01E03R01,S01E03R01_clip0237,5,4,1.0,5
S01E03R01,S01E03R01_clip0238,5,4,1.0,5
S01E03R01,S01E03R01_clip0239,5,4,1.0,5
S01E03R01,S01E03R01_clip0240,5,4,1.0,5
S01E03R01,S01E03R01_clip0241,5,4,1.0,5
S01E03R01,S01E03R01_clip0242,5,4,1.0,5
S01E03R01,S01E03R01_clip0243,5,4,1.0,5
S01E03R01,S01E03R01_clip0244,5,4,1.0,5
S01E03R01,S01E03R01_clip0245,5,4,1.0,5
S01E03R01,S01E03R01_clip0246,5,4,1.0,5
S01E03R01,S01E03R01_clip0247,5,4,1.0,5
S01E03R01,S01E03R01_clip0248,5,4,1.0,5
S01E03R01,S01E03R01_clip0249,5,4,1.0,5
S01E03R01,S01E03R01_clip0250,5,4,1.0,5
S01E03R01,S01E03R01_clip0251,5,4,1.0,5
S01E03R01,S01E03R01_clip0252,5,4,1.0,5
S01E03R01,S01E03R01_clip0253,5,4,1.0,5
S01E03R01,S01E03R01_clip0254,5,4,1.0,5
S01E03R01,S01E03R01_clip0255,5,4,1.0,5
S01E03R01,S01E03R01_clip0256,5,4,1.0,5
S01E03R01,S01E03R01_clip0257,5,4,1.0,5
S01E03R01,S01E03R01_clip0258,5,4,1.0,5
S01E03R01,S01E03R01_clip0259,5,4,1.0,5
S01E03R01,S01E03R01_clip0260,5,4,1.0,5
S01E03R01,S01E03R01_clip0261,5,4,1.0,5
S01E03R01,S01E03R01_clip0262,5,4,1.0,5
S01E03R01,S01E03R01_clip0263,5,4,1.0,4
S01E03R01,S01E03R01_clip0264,5,4,1.0,4
S01E03R01,S01E03R01_clip0265,5,4,1.0,4
S01E03R01,S01E03R01_clip0266,5,4,1.0,4
S01E03R01,S01E03R01_clip0267,5,4,1.0,4
S01E03R01,S01E03R01_clip0268,5,4,1.0,4
S01E03R01,S01E03R01_clip0269,5,4,1.0,4
S01E03R01,S01E03R01_clip0270,5,4,1.0,4
S01E03R01,S01E03R01_clip0271,5,4,1.0,4
S01E03R02,S01E03R02_clip0000,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0001,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0002,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0003,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0004,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0005,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0006,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0007,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0008,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0009,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0010,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0011,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0012,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0013,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0014,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0015,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0016,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0017,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0018,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0019,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0020,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0021,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0022,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0023,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0024,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0025,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0026,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0027,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0028,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0029,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0030,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0031,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0032,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0033,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0034,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0035,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0036,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0037,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0038,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0039,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0040,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0041,4.0,5,2.0,4
S01E03R02,S01E03R02_clip0042,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0043,6.0,5,2.0,4
S01E03R02,S01E03R02_clip0044,6.0,5,2.0,4
S01E03R02,S01E03R02_clip0045,5.0,5,2.0,4
S01E03R02,S01E03R02_clip0046,6.0,5,2.0,4
S01E03R02,S01E03R02_clip0047,6.0,5,2.0,4
S01E03R02,S01E03R02_clip0048,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0049,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0050,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0051,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0052,6.0,5,2.0,4
S01E03R02,S01E03R02_clip0053,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0054,5.0,5,2.0,4
S01E03R02,S01E03R02_clip0055,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0056,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0057,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0058,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0059,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0060,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0061,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0062,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0063,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0064,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0065,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0066,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0067,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0068,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0069,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0070,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0071,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0072,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0073,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0074,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0075,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0076,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0077,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0078,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0079,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0080,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0081,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0082,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0083,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0084,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0085,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0086,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0087,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0088,7.0,5,1.0,4
S01E03R02,S01E03R02_clip0089,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0090,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0091,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0092,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0093,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0094,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0095,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0096,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0097,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0098,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0099,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0100,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0101,4.0,5,1.0,4
S01E03R02,S01E03R02_clip0102,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0103,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0104,5.0,5,2.0,5
S01E03R02,S01E03R02_clip0105,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0106,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0107,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0108,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0109,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0110,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0111,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0112,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0113,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0114,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0115,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0116,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0117,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0118,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0119,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0120,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0121,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0122,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0123,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0124,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0125,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0126,7.0,5,1.0,4
S01E03R02,S01E03R02_clip0127,7.0,5,1.0,4
S01E03R02,S01E03R02_clip0128,7.0,5,1.0,4
S01E03R02,S01E03R02_clip0129,7.0,5,1.0,4
S01E03R02,S01E03R02_clip0130,7.0,5,1.0,4
S01E03R02,S01E03R02_clip0131,7.0,5,1.0,4
S01E03R02,S01E03R02_clip0132,7.0,5,1.0,4
S01E03R02,S01E03R02_clip0133,7.0,5,1.0,4
S01E03R02,S01E03R02_clip0134,6.0,5,1.0,4
S01E03R02,S01E03R02_clip0135,6.0,5,1.0,4
S01E03R02,S01E03R02_clip0136,6.0,5,1.0,4
S01E03R02,S01E03R02_clip0137,6.0,5,1.0,4
S01E03R02,S01E03R02_clip0138,6.0,5,1.0,4
S01E03R02,S01E03R02_clip0139,6.0,5,1.0,4
S01E03R02,S01E03R02_clip0140,6.0,5,1.0,4
S01E03R02,S01E03R02_clip0141,6.0,5,1.0,4
S01E03R02,S01E03R02_clip0142,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0143,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0144,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0145,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0146,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0147,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0148,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0149,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0150,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0151,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0152,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0153,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0154,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0155,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0156,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0157,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0158,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0159,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0160,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0161,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0162,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0163,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0164,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0165,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0166,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0167,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0168,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0169,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0170,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0171,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0172,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0173,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0174,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0175,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0176,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0177,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0178,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0179,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0180,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0181,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0182,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0183,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0184,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0185,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0186,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0187,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0188,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0189,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0190,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0191,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0192,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0193,5.0,5,1.0,4
S01E03R02,S01E03R02_clip0194,5.0,5,1.0,4
